Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
161.22399997711182,161.20700001716614,0.0,16.0,112.0,35.0,43.0,-69.3
161.09899997711182,161.08899998664856,0.0,15.0,155.0,15.0,23.0,-26.7
161.10899996757507,161.10899996757507,0.0,10.0,45.0,43.0,35.3,-63.3
161.14400005340576,161.14400005340576,0.0,13.0,103.0,3.0,36.0,-56.7
141.15300011634827,141.15199995040894,0.0010001659393310547,11.0,95.0,19.0,37.7,-68.3
315.52800011634827,315.52699995040894,0.0,19.0,69.0,42.0,45.7,-77.3
277.1909999847412,277.1889998912811,0.0,13.0,94.0,35.0,42.0,-73.7
256.08700013160706,256.08700013160706,0.0,15.0,116.0,60.0,46.7,-72.7
265.4559998512268,265.4430000782013,0.0,13.0,148.0,27.0,23.3,-36.0
161.61700010299683,161.6119999885559,0.0,11.0,90.0,21.0,38.0,-71.0
162.23300004005432,162.2300000190735,0.0,20.0,162.0,56.0,34.7,-46.3
201.72900009155273,201.72900009155273,0.0,13.0,235.0,3.0,19.7,-42.7
121.45300006866455,121.4520001411438,0.0,6.0,110.0,32.0,33.7,-62.3
141.59299993515015,141.5920000076294,0.0,10.0,95.0,60.0,44.7,-78.3
141.5130000114441,141.51199984550476,0.0,8.0,32.0,48.0,28.0,-55.3
161.64800000190735,161.64800000190735,0.0,8.0,53.0,3.0,26.0,-52.3
161.64299988746643,161.64299988746643,0.0,13.0,98.0,28.0,41.7,-71.0
161.6119999885559,161.60400009155273,0.0,11.0,30.0,22.0,29.0,-48.0
161.606999874115,161.60199999809265,0.0,11.0,239.0,36.0,36.0,-58.3
141.50799989700317,141.50699996948242,0.0,6.0,107.0,0.0,29.3,-54.7
141.5420000553131,141.53600001335144,0.0,7.0,212.0,68.0,14.3,-38.0
161.90100002288818,161.90000009536743,0.0,14.0,154.0,63.0,26.7,-45.3
161.614000082016,161.61300015449524,0.0,8.0,19.0,16.0,22.0,-40.7
141.57000017166138,141.57000017166138,0.0,11.0,95.0,51.0,45.3,-77.0
-95.82599997520447,-95.8270001411438,0.0,8.0,216.0,67.0,21.7,-43.7
201.2369999885559,201.2369999885559,0.0,14.0,228.0,12.0,17.7,-42.3
161.5939998626709,161.5880000591278,0.0,16.0,154.0,60.0,32.0,-48.0
121.13899993896484,121.13899993896484,0.0,6.0,88.0,71.0,41.3,-76.0
141.26500010490417,141.26399993896484,0.0,12.0,81.0,35.0,41.0,-75.3
141.1529998779297,141.15199995040894,0.0,6.0,221.0,7.0,5.3,-25.7
161.2059998512268,161.2059998512268,0.0,11.0,294.0,12.0,32.7,-52.0
121.15700006484985,121.15700006484985,0.0,6.0,96.0,50.0,38.3,-72.0
161.20300006866455,161.20300006866455,0.0,12.0,235.0,13.0,21.0,-48.7
161.3069999217987,161.30399990081787,0.0,19.0,69.0,27.0,43.3,-73.7
141.18899989128113,141.18899989128113,0.0,8.0,37.0,59.0,33.0,-61.7
161.21199989318848,161.21199989318848,0.0,12.0,171.0,28.0,22.0,-24.0
141.22699999809265,141.22199988365173,0.0,12.0,96.0,12.0,36.7,-63.0
141.66599988937378,141.6619999408722,0.0,17.0,88.0,60.0,50.7,-80.3
121.29800009727478,121.29700016975403,0.0,12.0,82.0,56.0,43.7,-80.0
141.16799998283386,141.1670000553131,0.0,6.0,161.0,28.0,9.3,-16.3
221.37999987602234,221.37999987602234,0.0,20.0,219.0,8.0,22.3,-35.3
141.42899990081787,141.42899990081787,0.0,13.0,116.0,67.0,42.0,-73.3
161.1470000743866,161.1470000743866,0.0,7.0,216.0,52.0,13.0,-36.7
161.49000000953674,161.49000000953674,0.0,13.0,146.0,66.0,32.7,-54.0
161.21900010108948,161.21799993515015,0.0,11.0,164.0,19.0,17.3,-20.0
221.31900000572205,221.31900000572205,0.0,17.0,21.0,10.0,30.7,-42.0
181.18799996376038,181.18700003623962,0.0,7.0,168.0,3.0,4.7,-10.3
