Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
141.42200016975403,141.42200016975403,0.0,11.0,93.0,59.0,46.3,-79.0
201.6360001564026,201.63499999046326,0.0,13.0,207.0,47.0,24.0,-45.3
161.16799998283386,161.1670000553131,0.0,7.0,215.0,15.0,7.3,-23.7
201.12199997901917,201.12199997901917,0.0,11.0,201.0,17.0,16.7,-22.7
181.018000125885,181.018000125885,0.0,9.0,217.0,15.0,13.0,-29.7
161.34400010108948,161.34299993515015,0.0,14.0,305.0,55.0,38.0,-66.7
181.55799984931946,181.5569999217987,0.0,11.0,169.0,9.0,14.7,-16.0
161.47099995613098,161.4670000076294,0.0,13.0,153.0,25.0,21.7,-28.7
181.1800000667572,181.1800000667572,0.0,9.0,183.0,41.0,18.7,-24.0
141.4300000667572,141.42400002479553,0.0,15.0,85.0,45.0,47.7,-78.0
181.04099988937378,181.0369999408722,0.0,7.0,173.0,7.0,5.7,-11.7
181.18200016021729,181.18200016021729,0.0,15.0,145.0,39.0,34.7,-48.7
202.0920000076294,202.09100008010864,0.0,19.0,21.0,57.0,36.3,-62.0
181.3439998626709,181.3439998626709,0.0,6.0,185.0,0.0,4.0,-6.7
141.1470000743866,141.14599990844727,0.0,6.0,314.0,15.0,24.0,-43.0
181.79800009727478,181.79699993133545,0.0,20.0,145.0,65.0,41.0,-51.7
181.1509997844696,181.14999985694885,0.0,17.0,257.0,27.0,43.7,-70.0
161.06700015068054,161.0660002231598,0.0,9.0,231.0,27.0,17.7,-46.7
161.4779999256134,161.4779999256134,0.0,11.0,233.0,21.0,28.7,-48.0
141.34100008010864,141.3380000591278,0.0,6.0,239.0,15.0,11.3,-45.0
141.18200016021729,141.18099999427795,0.0,9.0,113.0,43.0,36.0,-67.3
201.10899996757507,201.10599994659424,0.0,9.0,207.0,21.0,13.3,-23.3
161.05400013923645,161.0519998073578,0.0010001659393310547,9.0,277.0,25.0,29.3,-64.3
161.0149998664856,161.00300002098083,0.0,9.0,33.0,19.0,24.0,-46.0
181.36999988555908,181.36299991607666,0.0,7.0,193.0,11.0,7.7,-12.7
161.44000005722046,161.44000005722046,0.0,7.0,295.0,1.0,23.7,-48.0
141.1449999809265,141.1449999809265,0.0,7.0,314.0,43.0,27.7,-52.0
161.15599989891052,161.15499997138977,0.0,9.0,59.0,19.0,29.7,-62.3
181.0329999923706,181.0329999923706,0.0,9.0,191.0,35.0,17.0,-22.0
160.99199986457825,160.9909999370575,0.0,7.0,267.0,27.0,31.3,-60.7
141.2369999885559,141.2350001335144,0.0,9.0,289.0,27.0,30.0,-62.3
181.51700019836426,181.5110001564026,0.0,11.0,173.0,23.0,18.3,-20.0
141.5239999294281,141.5199999809265,0.0,13.0,81.0,61.0,43.0,-80.0
201.22099995613098,201.22099995613098,0.0,11.0,201.0,13.0,15.3,-20.7
181.75300002098083,181.74699997901917,0.0,20.0,107.0,79.0,48.7,-73.3
140.99799990653992,140.99699997901917,0.0,6.0,0.0,77.0,24.0,-47.3
161.08100008964539,161.08000016212463,0.0,13.0,269.0,15.0,35.3,-61.3
160.95099997520447,160.94999980926514,0.0010001659393310547,7.0,301.0,5.0,22.7,-47.0
140.9670000076294,140.96099996566772,0.0,7.0,283.0,23.0,28.7,-59.3
180.93499994277954,180.93499994277954,0.0,7.0,203.0,15.0,8.3,-17.0
180.9119999408722,180.90899991989136,0.0,7.0,143.0,23.0,18.3,-34.7
160.99699997901917,160.9960000514984,0.0,11.0,83.0,15.0,35.7,-68.3
161.05400013923645,161.05400013923645,0.0,9.0,299.0,27.0,29.3,-54.7
161.44799995422363,161.44000005722046,0.0,7.0,53.0,7.0,22.0,-52.7
202.00699996948242,202.0039999485016,0.0,17.0,23.0,79.0,41.7,-64.7
161.28199982643127,161.27499985694885,0.0,6.0,275.0,0.0,25.3,-52.0
161.19200015068054,161.19200015068054,0.0,6.0,201.0,39.0,10.3,-19.7
181.1729998588562,181.16899991035461,0.0,7.0,197.0,13.0,7.7,-14.7
161.37800002098083,161.37700009346008,0.0,13.0,95.0,57.0,44.7,-79.0
161.09299993515015,161.08899998664856,0.0,7.0,314.0,17.0,24.0,-43.3
181.09899997711182,181.09899997711182,0.0,11.0,139.0,25.0,35.7,-46.3
181.03600001335144,181.0349998474121,0.0,7.0,219.0,13.0,7.0,-26.3
161.08100008964539,161.08100008964539,0.0,13.0,93.0,5.0,37.0,-61.3
161.58100008964539,161.58100008964539,0.0,17.0,243.0,73.0,43.3,-73.7
141.0389997959137,141.0389997959137,0.0,9.0,71.0,33.0,32.7,-71.0
161.90300011634827,161.90300011634827,0.0,17.0,279.0,49.0,48.0,-74.0
181.54500007629395,181.54500007629395,0.0,9.0,229.0,7.0,13.3,-36.3
161.2940001487732,161.29299998283386,0.0,9.0,257.0,21.0,28.0,-62.0
161.4610002040863,161.4610002040863,0.0,13.0,241.0,51.0,32.0,-68.0
181.19799995422363,181.19799995422363,0.0,9.0,215.0,27.0,15.3,-31.0
181.8180000782013,181.81399989128113,0.0,19.0,65.0,77.0,45.7,-78.7
161.10399985313416,161.1029999256134,0.0,7.0,27.0,5.0,15.3,-39.3
181.09299993515015,181.0920000076294,0.0,7.0,11.0,3.0,12.0,-34.0
141.0609998703003,141.0550000667572,0.0,7.0,59.0,9.0,24.3,-55.7
221.3899998664856,221.3899998664856,0.0,20.0,25.0,29.0,34.7,-56.7
161.05800008773804,161.05700016021729,0.0,11.0,139.0,45.0,40.7,-55.3
161.27099990844727,161.2699999809265,0.0,13.0,43.0,59.0,36.7,-70.0
181.5279998779297,181.52699995040894,0.0,9.0,219.0,11.0,11.7,-29.3
