Total Time(s),Time_o1(s),Time_o2(s),var1,var2,var3,o1,o2
141.16899991035461,141.16799998283386,0.0,7,50,51,29.3,-63.7
141.18899989128113,141.18899989128113,0.0,7,81,45,35.3,-74.0
161.32099986076355,161.3199999332428,0.0,15,241,37,36.7,-65.7
141.15499997138977,141.15400004386902,0.0,7,90,18,30.7,-65.3
181.27999997138977,181.27600002288818,0.0,17,226,31,26.3,-53.0
141.16799998283386,141.1670000553131,0.0,6,45,53,27.3,-58.3
141.16499996185303,141.1619999408722,0.0,6,82,46,36.3,-71.0
181.1909999847412,181.19000005722046,0.0,9,223,10,13.0,-32.0
181.41300010681152,181.41300010681152,0.0,13,209,54,25.7,-48.0
181.22599983215332,181.22499990463257,0.0,11,206,53,24.3,-42.0
181.22000002861023,181.21599984169006,0.0,12,17,23,26.7,-45.7
141.16600012779236,141.16600012779236,0.0,9,82,45,36.7,-75.7
141.18099999427795,141.1800000667572,0.0,8,87,22,32.3,-67.3
141.41899991035461,141.41799998283386,0.0,12,224,75,29.7,-59.7
181.21799993515015,181.2149999141693,0.0,13,16,17,25.3,-44.0
181.28400015830994,181.2829999923706,0.0,12,16,22,26.0,-45.7
141.20099997520447,141.19999980926514,0.0,11,49,53,42.0,-69.7
141.17300009727478,141.17300009727478,0.0,8,78,47,34.7,-75.0
161.5,161.49300003051758,0.0,17,243,36,39.0,-68.3
201.3140001296997,201.31299996376038,0.0,17,225,31,26.3,-53.0
141.1670000553131,141.16599988937378,0.0,8,80,44,34.3,-74.3
141.15300011634827,141.1489999294281,0.0010001659393310547,7,82,50,35.7,-75.3
161.18600010871887,161.17900013923645,0.0,8,294,5,27.3,-49.0
181.26400017738342,181.2630000114441,0.0,15,240,34,35.7,-64.0
181.36299991607666,181.3619999885559,0.0,16,224,34,27.0,-54.0
181.24500012397766,181.2409999370575,0.0,15,241,34,36.3,-63.7
181.5259997844696,181.5259997844696,0.0,15,211,53,32.0,-51.0
181.2039999961853,181.20300006866455,0.0,12,226,12,18.0,-37.7
141.18799996376038,141.18799996376038,0.0,8,90,22,32.3,-68.3
141.19500017166138,141.1930000782013,0.0,11,285,22,36.0,-61.7
161.23300004005432,161.23200011253357,0.0,11,227,9,21.0,-37.7
141.15700006484985,141.1560001373291,0.0,7,82,49,35.7,-75.0
181.41899991035461,181.41899991035461,0.0,16,227,36,29.0,-56.3
181.26399993896484,181.26200008392334,0.0,15,227,36,31.7,-55.7
121.18799996376038,121.18700003623962,0.0,8,77,45,33.7,-75.0
141.1890001296997,141.18800020217896,0.0,8,49,53,33.3,-65.3
181.24799990653992,181.24699997901917,0.0009999275207519531,12,17,22,26.3,-44.3
181.18299984931946,181.1819999217987,0.0,10,221,13,15.7,-34.0
161.17600011825562,161.1710000038147,0.0,8,290,5,26.3,-51.0
141.18099999427795,141.17999982833862,0.0,7,81,49,35.7,-74.7
141.19700002670288,141.19600009918213,0.0,10,89,22,38.0,-69.0
181.26699995994568,181.2649998664856,0.0,16,227,33,28.0,-53.7
141.20000004768372,141.20000004768372,0.0,12,255,42,38.7,-71.7
181.614000082016,181.614000082016,0.0,19,242,35,40.3,-68.0
141.19600009918213,141.19600009918213,0.0,8,82,46,35.7,-75.0
141.2369999885559,141.2369999885559,0.0,8,87,17,31.3,-66.3
181.45100021362305,181.45000004768372,0.0,13,210,55,26.0,-48.7
181.22800016403198,181.22699999809265,0.0,14,15,21,23.7,-46.7
161.16599988937378,161.16499996185303,0.0,9,290,5,26.3,-51.0
181.54699993133545,181.5460000038147,0.0,15,210,52,31.7,-50.3
141.16299986839294,141.16299986839294,0.0,8,85,17,31.3,-66.7
141.20900011062622,141.20900011062622,0.0,11,255,45,41.0,-71.3
161.1710000038147,161.16899991035461,0.0,8,91,20,31.3,-66.7
141.1710000038147,141.16899991035461,0.0,7,82,46,35.3,-73.0
181.2699999809265,181.26900005340576,0.0,14,239,6,22.3,-49.3
201.6340000629425,201.6340000629425,0.0,16,209,54,30.7,-52.0
181.2149999141693,181.21399998664856,0.0,11,226,9,20.3,-36.3
181.30200004577637,181.30200004577637,0.0,15,231,36,32.7,-56.7
121.1579999923706,121.15700006484985,0.0,7,85,46,36.0,-73.0
141.15900015830994,141.1579999923706,0.0,7,78,50,36.0,-74.3
181.20299983024597,181.19899988174438,0.0,9,222,10,12.7,-31.7
181.18799996376038,181.18699979782104,0.0,10,210,54,24.3,-41.3
181.21799993515015,181.2170000076294,0.0,11,221,10,17.3,-33.3
141.19200015068054,141.19200015068054,0.0,9,79,46,37.0,-76.3
161.19600009918213,161.19600009918213,0.0,11,208,50,23.7,-40.0
161.24199986457825,161.23799991607666,0.0,14,243,39,32.0,-65.0
121.14600014686584,121.14100003242493,0.0,6,80,49,36.3,-72.7
141.1909999847412,141.1909999847412,0.0,10,77,45,41.3,-76.7
141.1579999923706,141.1560001373291,0.0,7,289,5,24.0,-51.3
181.5789999961853,181.57800006866455,0.0,15,210,55,32.0,-52.3
141.19900012016296,141.1980001926422,0.0,10,254,45,41.0,-70.3
181.20300006866455,181.19900012016296,0.0,10,226,8,16.0,-36.7
141.21399998664856,141.21399998664856,0.0,8,152,75,22.3,-37.7
141.15700006484985,141.1449999809265,0.0,6,87,21,33.7,-65.0
181.21000003814697,181.20499992370605,0.0,10,224,7,15.7,-34.3
161.2649998664856,161.26399993896484,0.0,11,88,22,38.3,-70.3
141.17999982833862,141.17999982833862,0.0,8,78,48,34.7,-76.3
161.4779999256134,161.47699999809265,0.0,17,247,36,41.0,-70.3
161.19000005722046,161.1890001296997,0.0,7,222,11,7.3,-29.3
181.30100011825562,181.30100011825562,0.0,12,208,54,25.0,-44.3
161.1949999332428,161.19400000572205,0.0,10,227,8,16.3,-36.7
201.2720000743866,201.2700002193451,0.0,16,237,6,23.0,-45.3
181.2220001220703,181.21600008010864,0.0,11,227,4,19.3,-37.7
